years_experience,num_achievements,peer_comparison_freq,perfectionism_score,social_support,failure_attribution,new_role_months,field_switch,imposter_syndrome_score
2.1,3,8.5,9.0,3.2,8.7,1.5,1,82.4
15.3,22,2.1,3.5,8.9,2.0,18.0,0,18.6
0.5,1,9.2,8.8,2.5,9.1,0.5,1,91.3
8.7,14,4.3,5.1,6.7,4.5,12.0,0,41.2
3.4,5,7.8,8.2,4.1,7.9,3.0,1,75.8
12.0,18,3.2,4.0,7.5,3.1,20.0,0,24.9
1.2,2,8.9,9.3,2.9,8.5,1.0,1,88.7
6.5,10,5.5,6.0,5.8,5.4,8.0,0,50.3
9.8,16,3.8,4.5,7.1,3.6,14.0,0,32.1
4.2,6,7.2,7.8,3.7,7.3,4.5,0,64.5
18.5,25,1.5,2.8,9.2,1.8,22.0,0,12.3
0.8,1,9.5,9.1,2.2,9.3,0.8,1,93.6
5.1,8,6.3,6.8,5.2,6.1,6.0,0,55.7
11.2,17,3.5,3.9,7.8,3.3,16.0,0,28.4
2.8,4,8.1,8.5,3.5,8.2,2.5,1,79.1
7.3,12,4.9,5.6,6.3,4.8,9.5,0,46.8
14.6,21,2.4,3.2,8.6,2.3,19.5,0,20.7
1.7,2,9.0,8.9,2.7,8.8,1.2,1,86.9
10.4,15,4.1,4.8,6.9,4.2,13.0,0,37.5
3.9,6,7.5,7.5,4.0,7.6,3.8,0,61.2
16.8,23,1.9,3.0,9.0,2.1,21.0,0,15.8
0.3,0,9.7,9.5,2.0,9.5,0.3,1,95.2
8.1,13,5.0,5.8,6.0,5.0,10.0,0,48.9
5.7,9,6.7,7.1,5.0,6.4,7.0,0,58.3
13.4,20,2.8,3.7,8.2,2.7,17.5,0,22.1
2.3,3,8.3,8.7,3.3,8.4,2.0,1,80.6
9.2,14,4.5,5.3,6.5,4.6,11.5,0,43.7
4.6,7,7.0,7.3,4.3,7.0,5.5,0,59.1
17.9,24,1.7,2.9,9.1,1.9,21.5,0,13.5
1.0,1,9.3,9.2,2.4,9.2,0.7,1,90.4
